Iteration,Vowel,Consonant
0,1,0
10,5,6
20,11,10
30,16,15
40,20,21
50,26,25
60,31,30
70,35,36
80,41,40
90,46,45
100,49,52
110,54,57
120,59,62
130,63,68
140,68,73
150,72,79
160,75,86
170,80,91
180,84,97
190,88,103
200,92,109
210,96,115
220,102,119
230,107,124
240,110,131
250,114,137
260,119,142
270,123,148
280,127,154
290,132,159
300,136,165
310,141,170
320,144,177
330,149,182
340,154,187
350,159,192
360,163,198
370,167,204
380,172,209
390,177,214
400,181,220
410,186,225
420,190,231
430,193,238
440,197,244
450,203,248
460,207,254
470,211,260
480,216,265
490,220,271
500,225,276
510,230,281
520,235,286
530,239,292
540,244,297
550,248,303
560,252,309
570,257,314
580,263,318
590,268,323
600,274,327
610,278,333
620,284,337
630,289,342
640,294,347
650,299,352
660,303,358
670,307,364
680,311,370
690,315,376
700,318,383
710,322,389
720,325,396
730,329,402
740,333,408
750,335,416
760,339,422
770,343,428
780,349,432
790,354,437
800,360,441
810,365,446
820,368,453
830,371,460
840,377,464
850,380,471
860,384,477
870,389,482
880,392,489
890,397,494
900,402,499
910,407,504
920,412,509
930,415,516
940,420,521
950,425,526
960,429,532
970,432,539
980,437,544
990,442,549
