Iteration,Sunny,Cloudy,Rainy,Snowy
10,0,0,0,0
20,3,6,1,0
30,8,8,4,0
40,8,14,8,0
50,12,16,12,0
60,14,21,14,1
70,22,22,15,1
80,24,26,19,1
90,31,28,20,1
100,37,30,22,1
110,44,31,24,1
120,48,36,25,1
130,56,38,25,1
140,62,40,27,1
150,65,44,30,1
160,69,48,32,1
170,73,52,32,3
180,77,55,35,3
190,81,61,35,3
200,84,66,36,4
210,89,71,36,4
220,94,74,36,6
230,94,78,41,7
240,99,82,42,7
250,99,88,46,7
260,99,95,49,7
270,100,99,53,8
280,101,102,56,11
290,108,105,56,11
300,111,107,61,11
310,114,113,62,11
320,120,116,63,11
330,123,118,68,11
340,128,120,71,11
350,130,124,75,11
360,132,125,82,11
370,135,130,84,11
380,136,137,85,12
390,138,143,87,12
400,140,145,91,14
410,146,147,92,15
420,150,150,93,17
430,154,153,93,20
440,156,157,97,20
450,159,160,101,20
460,164,163,103,20
470,165,168,107,20
480,165,170,108,27
490,169,175,109,27
500,171,179,113,27
510,173,185,115,27
520,175,190,118,27
530,181,192,120,27
540,186,196,120,28
550,187,199,126,28
560,191,201,130,28
570,196,203,133,28
580,202,206,134,28
590,206,210,135,29
600,206,214,137,33
610,207,217,143,33
620,207,219,151,33
630,210,222,155,33
640,214,225,156,35
650,219,230,156,35
660,221,232,160,37
670,224,236,163,37
680,228,240,165,37
690,229,246,166,39
700,232,247,172,39
710,239,249,173,39
720,245,251,173,41
730,253,253,173,41
740,258,257,174,41
750,263,257,179,41
760,266,261,181,42
770,266,265,187,42
780,268,268,192,42
790,272,272,194,42
800,273,274,195,48
810,275,278,199,48
820,282,280,200,48
830,286,282,204,48
840,291,286,205,48
850,297,289,206,48
860,299,294,206,51
870,302,295,212,51
880,305,300,214,51
890,308,303,215,54
900,311,308,217,54
910,316,311,219,54
920,319,316,221,54
930,325,318,221,56
940,331,320,223,56
950,331,325,227,57
960,334,328,228,60
970,341,330,229,60
980,344,332,234,60
990,348,335,237,60
1000,355,338,237,60
